1032200	1030022	13582300	10240900	17243600	11581600	11201200	14223600	18361700	18822600	10813700	19493000
2800300	2800003	12430400	14191600	15623700	11142100	18040200	18802900	17033900	17933200	11253400	13960900
630800	630008	14352400	11862000	11302000	16160400	17432000	17923500	15431000	16170400	11431000	19583500
71000	70010	13080900	11540700	19590500	16712200	19752300	12540300	13782500	14570300	13182700	11572000
1253400	1250034	11860200	13953900	18102300	18241500	11631300	13962800	13541000	18903200	18413200	11261300
2793500	2790035	15861800	18181500	12483400	18700600	11612200	17792100	13313000	13962800	17262200	12403800
1073400	1070034	15410600	19410400	11063600	11622200	16360400	18910400	11142200	11932700	11134000	12403800
1261600	1260016	19290200	18000600	11080800	10152100	10292200	17132000	19493400	13962800	12991200	11052300
2801700	2800017	17972900	15824000	11591300	10063100	12761600	18361700	16602200	14333500	19982800	19682200
41000	40010	14033000	19773400	17741400	10134000	17622400	10980500	17682900	16930900	19481500	14950700
2400300	2400003	13962800	10402100	13044000	18073100	16910200	18933000	11340900	16894000	17531400	14562400
1073200	1070032	16283000	17243600	14583800	11631300	12071400	14830200	10160500	18361700	10164000	12372400
622600	620026	19902600	17242000	17313800	11893000	11832700	13962800	11391400	10413400	13983700	17683200
671800	670018	12403800	18361700	14423700	14352400	12681300	11863100	19133500	14241100	13953900	13361400
73800	70038	14352600	12872000	16862000	14593000	12593400	14371800	10992400	18911800	11012100	16413300
2842700	2840027	13751600	12783500	11940500	16760100	14292200	14400300	10401700	13960900	16920800	15852300
662200	660022	17653600	10951000	15932400	13370100	16232000	13481800	14212200	13492500	11080700	15560700
1212500	1210025	17532400	16614000	11663200	17473300	11321500	10411400	18810900	12403800	18982600	13453700
1220700	1220007	19791200	11142900	11790500	10442900	15860300	17540700	19651500	14722900	14423700	12022900
1032300	1030023	13561900	16421800	10451800	12403800	17453300	12844000	15690900	10513300	16761700	12663500
1213800	1210038	15100700	16923100	17971700	12422500	11030200	10071300	15931600	17623000	14103100	16691200
630900	630009	17831100	19383300	14873000	15301400	17242400	16441800	12592500	18200900	12403800	17581300
1253500	1250035	17290100	11570600	13482500	16421800	12673000	16130800	12683600	11060200	13953900	13163100
2793600	2790036	12453300	12591100	11880700	12952200	17484000	10442500	13543100	17590700	14711800	13481700
1261700	1260017	10173900	13483800	18254000	11861900	18952300	17262200	12652900	14143700	11493900	11852200
1163400	1160034	13480800	14060600	12121700	14132200	17821800	18240100	13962800	14333200	16583300	15582200
91500	90015	16141600	17230100	15622400	11140700	18903700	17020700	16192100	10193200	14051900	19980600
41100	40011	16312400	13953900	16754000	18920500	12123100	17031300	15380300	13053600	17732500	12403800
2400400	2400004	11773500	12403800	13212000	12531500	10883500	18661700	18901900	19131200	10171500	19332100
663700	660037	19360900	11142100	10691800	19070300	16650700	14073900	10733500	10400800	11552200	16170400
1052400	1050024	19093200	13053000	17493400	16011600	18903200	17230400	10593800	10323900	15942300	13733200
1810600	1810006	13851200	12762800	17783600	16332700	16483000	15582300	17581500	15083500	15402400	17500500
73900	70039	18953800	17713500	13293400	10903400	15061600	13831300	11790700	11142200	13962800	14241100
