1032200	What type of food is NYC's leading food export?
1030022	State New York's leading type of food item exported.
13582300	What did the BBC say that Glencore used child labour for in 2012?
10240900	What was Irina Margareta Nistor's job in Romania?
17243600	List several biographies that influenced Gaddafi.
11581600	Is China an affect on the government in Burma ?
11201200	What movie sci-fi franchise returned to Marvel in 2015?
14223600	Where was the priory of Poissy located?
18361700	Element used to provide support to the original signal are called?
18822600	Is creating endospore a reproductive process?
10813700	What rail trail is slated to run between downtown New Haven and Northampton, Massachusetts?
19493000	What was the only city where working class purpose built tenements common?
2800300	Which of the two kept their family home in Brentwood?
2800003	Among the two, who kept their family home in Brentwood?
12430400	Which unpopular republic destroyed centuries of Swiss traditions?
14191600	After completing his studies, under whose rule did he become a regular canon?
15623700	On which island is Mount Shishaldin located?
11142100	Give an example of a predator that specializes in eating autotrophic species
18040200	Have the people of Turkey held any feeling towards the cloth symbol of the Greeks ?
18802900	How does bacteria help to sustain life in hydrothermal vents and cold seeps?
17033900	In which year did the University of Tennessee begin competing in the Southeastern Conference of the NCAA?
17933200	Which ruler requested a marriage alliance with the Han in AD 90?
11253400	Which country attacked British Malaya in 1941?
13960900	Is textual criticism immune to bias on the part of the critic?
630800	What are six companies that made some of the first peripherals for the iPod?
630008	Mention six companies that made iPod accessories.
14352400	Name its northwestern coastal area.
11862000	Is DDT 100% guaranteed to work?
11302000	What other plant was used in the discovery of different genes?
16160400	Who established the first samurai-led administration?
17432000	Whose life was 'Schindler's List' based on?
17923500	In what year did Han forces stop a joint Xiongnu-Qiang invasion?
15431000	What type of human is God portrayed as in some religions?
16170400	What did Bushido transcend?
11431000	What area continued to exist after Londinium was abandoned following the end of Roman rule?
19583500	When did King Sobhuza II die?
71000	When did Destiny's Child end their group act?
70010	When did Destiny's Child end?
13080900	When were paper capacitors first manufactured?
11540700	Regualtions carry force of law when based on reasonable interpretation of what?
19590500	Which group looks over elections in Swaziland?
16712200	When was the first madrasa started in North America?
19752300	When do the pictograms suggest Sumerians had domesticated livestock?
12540300	Is a trade union governed by the Office of the Scottish Charity Regulator?
13782500	When did the Berlin Wall get torn down?
14570300	What is the 2009 population of Whites in Detroit?
13182700	When was Wealth of Nations written?
11572000	have the Burmese people ever shown any reservations about the ruling government bodies?
1253400	When was Tajikistan under Ymayyads contorl?
1250034	During which year was Tajikistan under Ymayyads contorl?
11860200	Give three examples of target organisms of pesticides.
13953900	Define lectio brevior""
18102300	Why was United Stated excluded from League of Nations Council?
18241500	Britain adopting the role as global policeman is known as
11631300	Are public displays allowed for the celebration of religion in Myanmar ?
13962800	Explain the process used by McKerrow as an alternative to the stemmaic method
13541000	Were children able to take on apprenticeships?
18903200	Had the Football League First Division ever been in the top level?
18413200	When does a great diversity of angiosperms appear in the fossil record?
11261300	When did Britain give the Federation of Malaya its independence?
2793500	What Massachusetts town was the setting for the wedding between Shriver and Schwarzenegger?
2790035	Where did Shriver and Schwarzenegger marry?
15861800	What effect did the Nazi eugenics program have on racial essentialism?
18181500	What determines the conductivity in a FET?
12483400	What is the predominant religion of Switzerland?
18700600	What shopping center is located along Broadway?
11612200	Has the government of Myanmar made life any easier for it's inhabitants ?
17792100	What did the British offence become know as?
13313000	What is the unit of magentic properties of the electron?
13962800	Explain the process used by McKerrow as an alternative to the stemmaic method
17262200	List the two names of Gaddafi's coup.
12403800	List two alternatives to rotary stepper motors in printer applications.
1073400	Which four of the world's most expensive stadiums are located in NYC?
1070034	name the four most expensive stadiums in NYC?
15410600	What part of a polychaete can be everted?
19410400	Why is Iranian cuisine so diverse besides being influenced by other cultures?
11063600	Which 1980 movie contained song contributions from Queen?
11622200	Has the travel industry considered making changes to fight plans for Myanmar ?
16360400	Why was zinc being used in the 1930's?
18910400	In which month was the Taylor Report published?
11142200	Give an example of an animal that feeds off of other animals for reproduction?
11932700	Which groups of researchers provided unorthodox structure for a research group?
11134000	Do detritivores have a direct impact on donor" organisms?"
12403800	List two alternatives to rotary stepper motors in printer applications.
1261600	What did the population of Russians do between 1926-1959?
1260016	How did the population of Russia vary between 1926 - 1959?
19290200	What nickname has the city  been given as a result of its extensive craft beer industry?
18000600	Who was the author of these tales ?
11080800	The Presbyterian church in Canada has retains which Doctrine in its original form?
10152100	Whose nickname was 'Task Force Lynch'?
10292200	In which year did the Society of Friends begin?
17132000	Were the British successful in stopping the building of Fort Duquesne?
19493400	Who conferred primacy to the Eyre Estate of St John's Wood?
13962800	Explain the process used by McKerrow as an alternative to the stemmaic method
12991200	What town did Von Neumann's family become associated when elevated to nobility?
